# https://en.wikipedia.org/wiki/Latitude_and_longitude_of_cities,_A-H
Afghanistan, Herat, 34, 20, N, 62, 12, E
Afghanistan, Kabul, 34, 31, N, 69, 12, E
Algeria, Algiers, 36, 50, N, 3, 00, E
American Samoa, Pago Pago, 14, 16, S, 170, 43, W
Andorra, Andorra la Vella, 42, 30, N, 1, 30, E
Angola, Namibe, 15, 10, S, 12, 09, E
Anguilla, The Valley, 18, 13, N, 63, 03, W
Argentina, Buenos Aires, 34, 40, S, 58, 30, W
Argentina, Córdoba, 31, 32, S, 64, 21, W
Armenia, Yerevan, 40, 10, N, 44, 31, E
Aruba, Oranjestad, 12, 31, N, 70, 02, W
Australia, Adelaide, 34, 55, S, 138, 35, E
Australia, Alice Springs, 23, 42, S, 133, 53, E
Australia, Brisbane, 27, 28, S, 153, 02, E
Australia, Canberra, 35, 17, S, 149, 08, E
Australia, Coober Pedy, 28, 56, S, 134, 45, E
Australia, Darwin, 12, 28, S, 130, 50, E
Australia, Derby, 17, 19, S, 123, 38, E
Australia, Newman, 23, 20, S, 119, 34, E
Australia, Perth, 31, 56, S, 115, 50, E
Australia, Townsville, 19, 13, S, 146, 48, E
Austria, Vienna, 48, 12, N, 16, 22, E
Azerbaijan, Baku, 40, 22, N, 49, 53, E
Bahamas, Nassau, 25, 03, N, 77, 29, W
Bahrain, Al-Manamah, 26, 13, N, 50, 34, E
Bangladesh, Dhaka, 23, 43, N, 90, 25, E
Barbados, Bridgetown, 13, 06, N, 59, 37, W
Belarus, Minsk, 53, 51, N, 27, 30, E
Belgium, Brussels, 50, 50, N, 4, 20, E
Belize, Belmopan, 17, 13, N, 88, 48, W
Benin, Porto-Novo, 6, 29, N, 2, 37, E
Bermuda, Hamilton, 32, 18, N, 64, 48, W
Bhutan, Thimphu, 27, 32, N, 89, 43, E
Bolivia, La Paz, 16, 30, S, 68, 10, W
Bosnia and Herzegovina, Sarajevo, 43, 51, N, 18, 23, E
Botswana, Gaborone, 24, 45, S, 25, 55, E
Brazil, Belém, 1, 27, S, 48, 29, W
Brazil, Brasília, 15, 47, S, 47, 55, W
Brazil, Campinas, 22, 54, S, 47, 03, W
Brazil, Cuiaba, 7, 15, S, 58, 25, W
Brazil, Manaus, 3, 06, S, 60, 00, W
Brazil, Porto Velho, 8, 45, S, 63, 54, W
Brazil, Recife, 8, 06, S, 34, 53, W
Brazil, Rio de Janeiro, 22, 54, S, 43, 14, W
Brazil, Santarém, 2, 26, S, 54, 41, W
Brazil, São Paulo, 23, 32, S, 46, 37, W
British Virgin Islands, Road Town, 18, 28, N, 64, 39, W
Brunei, Bandar Seri Begawan, 4, 53, N, 114, 56, E
Bulgaria, Sofia, 42, 40, N, 23, 18, E
Burkina, Ouagadougou, 12, 22, N, 1, 31, W
Burundi, Bujumbura, 3, 22, S, 29, 19, E
Cambodia, Phnom Penh, 11, 33, N, 104, 55, E
Cameroun, Yaoundé, 3, 51, N, 11, 35, E
Canada, Churchill, 58, 45, N, 94, 00, W
Canada, Kugluktuk, 67, 49, N, 115, 21, W
