,20130801,20130703,20130605,20130507,20130409,20130311,20130208,20130110,20121211,20121112,20121011,20120913,20120815,20120718,20120619,20120521,20120423,20120323,20120224,20120126,20111227,20111128,20111028,20110930,20110901,20110804,20110707,20110608,20110510,20110411,20110314,20110211,20110113,20101215,20101116,20101019,20100921,20100823,20100726,20100625,20100527,20100429,20100331,20100303,20100202,20100104,20091203,20091104,20091007,20090909,20090811,20090714,20090615,20090515,20090417,20090319,20090219,20090121,20081219,20081120,20081023,20080925,20080827,20080730,20080701,20080603,20080505,20080407,20080307,20080207,20080109,20071210,20071109,20071012,20070914,20070816,20070719,20070620,20070522,20070424,20070326,20070226,20070126,20061226,20061127,20061027,20060929,20060831,20060803,20060706,20060607,20060509,20060410,20060313,20060210,20060112,20051213,20051114,20051017,20050919,20050819,20050722,20050623,20050525,20050427,20050330,20050301,20050131,20041231,20041202,20041103,20041006,20040908,20040810,20040713,20040614,20040513,20040415,20040317,20040218,20040120,20031218,20031119,20031022,20030924,20030826,20030729,20030630,20030602,20030502,20030403,20030306,20030205,20030107,20021206,20021107,20021010,20020912,20020814,20020717,20020618,20020520,20020422,20020322,20020222,20020124,20011224,20011126,20011026,20010928,20010824,20010727,20010628,20010531,20010502,20010403,20010306,20010205,20010105,20001206,20001107,20001010,20000912,20000814,20000717,20000616,20000518,20000419,20000322,20000223,20000125,19991227,19991126,19991028,19990930,19990901,19990804,19990707,19990608,19990510,19990412,19990312,19990211,19990113,19981214,19981113,19981016,19980918,19980820,19980723,19980624,19980527,19980428,19980330,19980302,19980130,
test,0.0,50.0,100.0,150.0,200.0,250.0,300.0,250.0,200.0,250.0,300.0,0.0,50.0,100.0,150.0,200.0,250.0,300.0,250.0,200.0,250.0,300.0,0.0,50.0,100.0,150.0,200.0,250.0,300.0,250.0,200.0,250.0,300.0,0.0,50.0,100.0,150.0,200.0,250.0,300.0,250.0,200.0,250.0,300.0,0.0,
a,45.51,42.82,45.1936,42.0624,41.6136,42.7478,44.8162,43.3942,38.4377,36.7613,37.4656,36.9628,39.9012,36.7353,39.9336,38.3153,40.8019,42.8958,42.8564,43.6342,34.6455,34.5864,39.2235,31.3375,36.2306,38.2292,51.5597,46.7847,49.3248,44.1068,44.3923,43.0927,42.2165,38.4064,35.2559,33.6019,30.4908,28.2953,28.7679,30.4416,31.7116,36.3586,34.0154,31.8888,28.7679,30.8354,29.0435,24.751,26.7791,25.9029,23.3431,19.0407,18.834,17.7412,16.5696,14.5021,15.8509,18.5189,16.0084,17.1012,20.9015,30.4416,34.1434,35.6793,34.4978,36.398,31.6328,31.2292,29.4964,32.8635,34.3501,37.4514,33.917,36.8016,35.6694,31.8002,39.1743,38.7018,37.7566,34.9507,32.5091,32.7454,31.5049,33.1786,32.9324,32.857,30.6121,29.8515,25.8348,29.0537,31.5861,36.3078,35.0277,33.7661,32.4674,32.2355,33.0518,30.4266,28.5991,31.3078,28.6641,23.9146,22.8478,21.9943,19.7402,20.64,22.3097,20.3524,22.3468,21.9758,23.9888,21.3821,18.8589,20.5008,24.3969,24.3505,23.8867,28.6641,28.1075,33.395,31.7717,25.0463,25.6307,22.0778,22.8663,22.1428,20.3988,18.089,17.6252,14.9814,13.3209,11.9944,15.1205,18.4786,15.3061,13.6734,10.1577,14.3135,14.6289,21.8366,23.4693,27.4581,32.0592,32.5602,26.1594,26.4285,26.4192,23.3209,22.1706,17.9962,24.5825,27.0407,27.8292,30.6121,37.0128,27.922,36.2707,49.7215,53.1074,51.2521,42.3282,47.8941,51.7716,38.9609,71.317,61.4005,72.3559,80.7047,105.343,84.9996,63.7752,46.3263,37.9219,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,
aa,7.96966,7.65087,8.30837,8.63769,8.24055,8.55826,8.85608,9.02429,8.48997,8.34153,8.65774,9.19021,8.53941,8.12595,8.56811,8.34212,9.34309,9.8034,10.2441,10.4092,8.63198,9.16903,10.9438,9.66835,12.3459,13.7188,15.8854,15.1568,17.002,17.5257,15.4793,16.614,15.617,13.6419,12.7415,12.4518,10.9931,10.3073,10.7333,10.7622,11.1959,13.1492,13.7452,12.7839,13.1971,15.7962,13.0916,12.4586,13.4241,12.1707,12.0655,9.31671,11.1496,8.55305,8.69904,5.5297,6.36724,8.01203,9.35357,7.51826,9.76822,23.6808,29.1117,29.8703,32.2467,36.8442,33.0785,35.8358,33.6619,29.3235,28.0942,33.5592,34.0025,34.6666,30.8198,30.1531,41.822,37.2837,35.2926,30.7289,30.3629,31.3893,28.0724,25.9595,27.2557,24.3852,24.6943,25.1889,26.0103,29.2951,26.8788,31.6324,28.5283,25.6763,27.1111,25.1013,24.3787,23.2468,19.9206,23.1483,24.429,24.7578,23.7592,23.6216,24.7168,25.3505,27.5002,24.9662,26.7897,29.2267,27.6163,28.4116,27.9875,25.4856,27.1787,26.2419,25.1361,27.7198,28.9546,31.9197,29.5548,29.998,26.9539,24.9298,23.0569,23.0154,22.2741,20.7676,20.8835,18.8639,16.733,16.2807,16.3629,19.9073,19.532,19.377,14.6158,19.058,20.3875,23.8571,25.3884,28.6124,30.0108,30.2837,30.0831,28.3584,27.4079,30.8748,27.0771,24.0553,30.417,31.1721,31.2513,33.5565,33.1921,27.8706,29.7177,29.5203,26.6286,24.758,22.353,22.3026,24.5563,25.5345,25.572,23.8729,25.4045,24.5531,26.0593,28.3379,28.4099,30.5144,25.3384,23.134,23.5428,24.9655,23.8589,23.4439,23.5631,24.5239,16.7819,14.9393,16.5922,15.8678,13.8073,14.9033,14.8203,13.0524,12.8873,13.5681,12.1178,13.3437,14.5469,13.1595,13.748,14.1943,
aapl,452.82,418.159,442.727,458.951,420.747,424.023,467.883,518.607,529.615,543.823,631.61,661.536,616.617,590.105,567.386,519.925,554.947,583.977,505.512,436.053,392.034,362.129,391.918,376.552,375.394,378.886,345.012,322.741,339.294,324.822,343.349,345.071,335.637,311.139,297.561,295.052,276.184,244.878,252.892,262.695,243.721,255.829,229.026,203.204,190.386,207.552,192.079,185.484,184.473,168.076,159.197,137.985,132.325,118.875,117.533,99.0543,90.807,77.2691,87.4323,82.8808,93.8609,126.256,168.562,153.42,159.78,181.731,176.946,151.844,117.125,116.677,166.753,188.276,166.442,158.545,132.782,113.915,136.536,120.451,109.363,91.3808,91.4003,87.3739,84.7286,79.9047,89.9803,79.5059,74.9933,65.4915,65.9875,55.5229,58.4503,69.8582,68.3411,63.2644,63.3616,82.5987,72.8343,59.8702,52.508,49.6487,44.9901,42.2475,37.7642,38.4352,34.9048,40.993,43.8037,36.2664,31.5884,32.1476,26.4631,19.1933,17.3843,14.7925,14.2236,14.8946,13.1781,14.0145,12.6869,11.2621,11.0238,9.67688,9.99779,11.1503,10.8197,10.0902,10.2166,9.0593,8.83075,7.03153,7.08016,7.08989,7.15311,7.192,7.10934,8.2375,6.62793,6.90511,7.13366,7.84362,9.92974,11.9478,12.079,11.7775,10.5328,11.1405,10.1632,9.69633,9.17114,7.63938,8.75295,9.11766,11.2281,9.62825,12.8085,10.3868,10.0756,9.96868,8.2375,7.11421,10.4549,10.5182,27.883,23.1418,28.3255,22.7334,25.0431,30.6815,32.2838,27.5304,25.5294,25.3787,23.0373,18.7362,14.4813,16.2902,13.4188,11.5198,11.8529,11.3666,8.50981,7.85577,9.42158,10.4258,7.99436,8.49523,9.02769,8.76754,9.96868,8.46362,6.74707,6.24621,6.77867,6.50393,5.72832,4.45185,
abbv,45.14,41.4988,43.0941,44.0949,41.1967,36.808,35.7084,32.3578,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,
abc,58.38,54.51,53.04,54.3816,52.5486,48.1754,46.1353,43.5964,42.5452,40.0539,38.9786,37.3212,37.7131,39.119,37.2216,35.3733,35.6594,37.364,36.6195,37.9571,36.4341,35.9851,41.1744,36.4557,38.4113,36.6287,42.0609,39.5388,40.9682,38.9754,35.4735,35.2512,33.6691,30.7749,29.9152,30.7999,29.4632,27.8862,29.3537,30.2647,29.6126,29.6233,27.9972,27.2607,26.5128,25.0727,23.6803,22.1485,20.9888,20.3424,19.2602,17.2128,17.2081,16.9379,16.933,14.6835,17.1079,17.3967,16.2561,13.8901,15.2007,18.0379,19.5223,19.9191,18.5546,19.4924,19.2884,19.3212,18.7689,21.1813,21.3121,21.443,20.7208,21.1779,21.4485,20.6928,22.1572,22.7128,23.2142,24.8161,24.3287,24.7755,23.8872,20.1314,20.3253,20.8937,20.3667,19.9614,19.4008,18.8606,19.5358,19.8486,20.6809,20.5999,19.536,18.4344,18.3333,17.2994,16.8276,17.3893,16.3828,15.9122,15.1262,14.7668,13.4501,12.2064,13.4771,13.1283,13.1619,13.4155,12.6426,11.8305,12.3375,11.8496,11.7778,13.6074,13.2452,12.2188,12.3712,12.7634,12.5158,14.1198,14.2923,13.0886,12.2332,13.1446,14.4935,15.5567,14.057,12.5297,12.1807,11.9547,12.9156,13.2399,13.5843,15.9512,16.0965,15.6606,15.1074,14.3029,18.1356,17.3467,16.1525,15.6096,14.3987,14.0246,13.9241,12.9661,15.4111,15.6031,13.7169,12.8352,12.7794,12.5673,11.8441,10.8374,12.7794,10.9378,10.3798,9.93331,9.15204,10.2547,7.54708,8.20335,6.73903,6.40419,4.3528,4.03136,3.78135,3.51572,4.33941,3.06928,2.74784,3.18089,5.4689,5.80373,6.23678,5.67873,6.37518,7.03144,6.25017,8.33617,8.24576,8.6922,7.05935,7.07386,6.36178,6.25017,5.89414,7.53369,6.59951,5.79704,6.41759,6.585,6.54371,6.41759,
abt,36.9,34.5801,36.5223,35.606,36.2754,34.2909,34.1223,33.3882,30.9024,30.7794,33.1587,31.7773,31.0447,30.9696,29.2521,28.7209,27.7471,27.7659,26.0241,25.613,25.5679,24.1342,24.8305,23.3788,23.7828,22.6345,24.0588,23.0513,23.717,22.5003,21.5246,20.2102,21.2974,21.2163,21.2074,23.4942,22.9244,21.6942,21.3745,20.6573,20.7094,21.911,22.6098,23.4874,22.9281,23.142,23.2359,21.5662,21.2199,19.483,18.8433,19.6864,19.0637,18.7067,18.0055,20.3801,22.319,20.9293,21.8942,22.4147,22.3857,24.153,23.6075,23.0169,21.4786,22.8032,21.7028,22.3189,21.1206,23.2905,23.7163,23.4626,21.4694,21.4574,20.7885,20.9125,21.8651,21.8502,23.2265,22.7054,21.785,21.2195,20.8437,18.7599,18.3588,18.6577,18.8129,18.8833,18.4222,16.9612,16.4877,16.4178,16.2298,17.2588,16.303,15.8945,14.9021,16.6787,16.2346,16.5478,17.5863,17.6509,18.8099,18.337,18.1327,17.359,17.2988,17.028,17.54,16.0849,16.0774,15.7425,15.6867,14.3857,14.8727,15.6597,15.0761,14.5071,14.3294,15.4213,14.9322,15.672,15.3295,14.5587,14.5934,13.4763,13.4525,14.833,15.1716,13.9593,13.5576,11.8915,12.6219,13.6013,13.8857,15.2308,13.4173,12.9731,13.1661,11.3931,12.467,15.6415,18.1026,17.2517,18.6529,18.814,18.5131,17.7595,17.694,16.7748,17.0653,16.8401,16.2146,16.7281,14.4924,14.9634,15.9502,14.6528,13.9124,17.2334,16.9306,15.0008,14.2788,12.9344,13.3355,13.6982,12.4587,12.2798,10.6481,10.2921,9.53557,11.703,12.0193,12.3356,11.8113,13.6035,13.5625,13.9403,13.978,14.6838,15.79,15.9088,14.0109,14.1672,15.1937,14.3553,14.1029,13.4138,13.1995,13.6064,12.5756,11.5589,11.0466,11.6198,11.5042,11.0032,
ace,92.17,88.165,88.2247,90.214,90.0151,85.9559,84.1754,80.1398,79.5659,76.4984,76.5082,73.5506,70.6887,69.5106,70.4711,70.2577,72.3629,70.2225,70.9455,69.1622,67.3021,63.7882,69.0831,58.072,61.3455,61.9643,62.7259,63.7217,63.8922,62.3394,56.5924,59.9363,57.2235,56.9315,56.0612,56.2016,54.8688,50.1178,48.9534,49.1943,45.3709,48.7499,48.6851,46.2639,45.2331,46.3835,45.7044,47.1586,49.7654,47.0009,45.0369,39.548,40.2345,39.4125,41.6527,36.5268,36.7243,42.1988,46.6342,35.7902,40.4184,50.4873,43.9281,44.3237,48.1397,52.2621,53.2069,50.0487,47.1664,50.9794,52.8685,52.7801,48.8621,53.5603,49.8282,46.4028,52.9171,54.0961,53.3659,50.6855,48.5408,49.302,50.1659,51.1949,49.0908,50.2068,47.1657,44.8774,43.122,41.8923,41.8464,46.107,43.3482,46.0575,44.1002,47.5611,45.8844,47.5488,41.2341,39.3704,37.4648,38.4135,37.5755,35.8039,33.1052,34.9761,36.4909,35.0082,35.2553,33.6224,31.9339,34.6551,31.8732,31.3433,34.5878,33.785,33.428,35.6506,35.0465,36.2578,34.4005,30.978,27.6423,27.6745,27.0508,26.3315,26.3715,27.8419,29.3935,26.6592,24.5608,21.3766,22.7201,25.3674,25.2753,24.9846,21.9991,24.5459,24.8115,22.6632,26.0884,25.9251,34.0462,32.4489,32.054,28.6473,29.6659,29.1182,27.1976,21.6747,26.5207,24.9183,30.0936,29.5992,28.4462,27.2014,28.1469,28.9076,28.1469,31.0931,29.0531,26.9221,26.4537,26.4537,23.9065,21.1047,19.9314,15.7044,14.2077,13.086,15.0527,12.1167,13.283,13.0453,12.399,15.8744,17.5356,20.8582,21.6946,23.1654,21.371,23.6496,19.0664,23.745,21.039,21.2961,25.2219,22.7811,25.8355,29.4805,28.1833,25.8632,25.4559,28.8233,23.9398,22.3961,
acn,74.21,71.88,81.23,78.87,75.954,77.5469,72.234,69.1175,69.167,65.1501,69.3648,63.6083,59.6866,56.7624,58.0534,56.958,61.5154,61.9319,57.1135,55.372,50.931,52.808,58.6229,50.7392,51.3128,56.0645,59.9367,53.5118,53.8178,51.8572,48.4335,50.0363,46.8972,43.9762,41.9087,42.6295,38.9421,36.3316,37.8059,36.9983,35.7306,41.2428,39.078,37.9424,38.5288,38.6778,39.0315,35.55,34.7641,31.495,32.5086,30.2531,28.9929,26.3447,25.0115,28.4359,28.4815,29.6778,28.7098,24.2718,27.6962,33.033,35.8105,36.9341,35.8015,36.5925,35.1813,33.5993,31.0555,30.3365,30.8938,32.1791,31.0825,36.8262,35.3037,34.1207,37.5808,36.9581,34.8678,34.3964,33.2223,34.0228,32.6263,32.2705,30.367,28.9972,28.2918,25.2568,24.9489,24.8081,24.1483,25.9517,25.5383,27.7552,27.8431,26.8666,24.984,22.9431,22.2129,22.6947,21.7995,21.3822,20.7217,19.7481,18.427,21.0519,22.2341,22.3384,23.4335,23.1902,21.6343,23.6161,22.9294,20.9042,22.5122,21.8603,20.4435,22.0341,20.6,20.5565,20.8607,21.3388,20.6869,19.4787,18.6008,18.2357,17.3057,15.4717,15.2283,14.1158,13.6464,13.7333,14.2201,16.732,15.6455,14.9936,9.99576,14.1244,13.9071,13.2118,18.0793,17.3839,21.078,23.9464,22.4253,21.9472,22.7295,17.975,15.3848,10.5173,13.2553,12.612,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,
